trial_id,trial_date,delay_yn,yard_name,ship_type,hull_number,time_taken,delay_time,captain_sal,helm_sal,captain_cost,helm_cost,trans_cost,cond_cost,temp_test_cost,dev_cor_cost,west_meal_cost,korean_meal_cost,bed_cost,comd_cost,hfo_unit_price,mfo_unit_price,draw_cost,comm_cost,total_cost,helm_tot_cost,labor_cost,fuel_cost,other_cost,Timestamp
24039,2021년 10월,지연,현대미포,CON_RO,1차선,5,21,448368,269021,40353120,18831470,860128,537605,891888,448004,4121600,16865945,1792022,1680020,402,511,5224464,2612231,459720096,61922215,218970155,146531444,32296282,2025-07-09 9:57
14489,2018년 5월,정상,삼성중공업,2500TEU_SCR,시리즈,4,해당없음,406492,243895,8129840,2926740,209952,524924,1154837,437437,839760,3358976,1749754,1312315,345,440,6251408,3125702,96506672,13383730,43055472,23429555,16637915,2025-07-09 9:57
13173,2018년 1월,지연,현대미포,CON_RO,1차선,5,5,406492,243895,38616740,17072650,866052,524924,870851,437437,4111325,17122905,1749754,1640394,289,400,5101240,2550618,401094047,58388654,202391240,108037917,32276236,2025-07-09 9:57
16248,2019년 10월,정상,삼성중공업,PC_SCR,시리즈,4,해당없음,423972,254383,6783552,3052596,186466,532798,883914,443999,710320,2929960,1776001,1332000,208,340,5177759,2588878,81614675,11883325,41243824,13972608,14514918,2025-07-09 9:57
5021,2016년 1월,정상,삼성중공업,2500TEU_DF,1차_1차선,4,해당없음,380568,228340,13700448,6393520,407984,510035,1122083,425029,1495824,6119040,1700126,1275094,91,200,6074103,3037050,138982491,22559099,79157344,17564811,19701237,2025-07-09 9:57
30989,2022년 7월,지연,현대미포,LPG,1차선,5,20,465855,279513,11646375,5590260,247959,551046,1000977,459205,1285760,5165625,1836823,1722021,450,625,5960676,2980337,155050048,19495822,64427605,52175379,18951242,2025-07-09 9:57
7722,2016년 9월,지연,삼성중공업,LPG,1차선,5,24,380568,228340,9514200,4566800,229491,510035,926483,425029,1104870,4589280,1700126,1593868,203,285,5517090,2758543,114258398,16172038,60623875,20198708,17263777,2025-07-09 9:57
19923,2020년 10월,지연,삼성중공업,2500TEU_DF,2차_1차선,4,11,443051,265831,5316612,2126648,133725,534930,1176849,445775,570560,2353472,1783106,1671661,205,249,6370561,3185279,72901644,9734539,37053152,10179314,15934639,2025-07-09 9:57
25134,2021년 1월,지연,삼성중공업,2500TEU_DF,시리즈,6,6,448368,269021,13451040,4842378,215032,537605,1182734,448004,1182720,4999308,1792022,1680020,261,328,6402414,3201206,138476477,20676793,71236512,27305482,19257690,2025-07-09 9:57
36690,2024년 3월,지연,현대미포,PC_SCR,1차선,5,3,500000,300000,15000000,7500000,330000,600000,995400,500000,1500000,6375000,2000000,1875000,420,465,5830800,2915400,184617654,24925400,86150000,53046054,18496200,2025-07-09 9:57
